;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;
ENSRNOG00000026177;Mgam;976.0023143;4.505009021;2.171529995;0.341739054;6.354351275;2.09E-10;3.93E-06;maltase-glucoamylase;;;
ENSRNOG00000002863;Cacna1e;14841.48736;1.729262623;0.790156988;0.15711278;5.029234328;4.92E-07;0.004624279;calcium voltage-gated channel subunit alpha1 E;;;
ENSRNOG00000020014;Myh14;1354.388967;0.511820496;-0.966290174;0.223983308;-4.314116894;1.60E-05;0.100316926;myosin heavy chain 14;;;
ENSRNOG00000040205;Zcchc24;5488.912223;0.594018322;-0.751420664;0.195811785;-3.837463934;0.000124311;0.396459347;zinc finger CCHC-type containing 24;;;
ENSRNOG00000002053;Fras1;2489.493554;1.773265451;0.826408518;0.215609261;3.832898995;0.000126642;0.396459347;Fraser extracellular matrix complex subunit 1;;;
ENSRNOG00000007027;Hgf;829.3170061;2.307798638;1.20651735;0.316829349;3.808098442;0.00014004;0.396459347;hepatocyte growth factor;;;
ENSRNOG00000003929;Pcdh19;2604.703218;1.763472845;0.81841936;0.217027911;3.771032743;0.000162573;0.396459347;protocadherin 19;;;
ENSRNOG00000005668;Ndufa8;5684.927927;0.646682379;-0.628870795;0.168885724;-3.723646844;0.000196366;0.396459347;NADH:ubiquinone oxidoreductase subunit A8;;;
ENSRNOG00000006237;Gpr37l1;5180.212486;0.629301051;-0.668177743;0.181217107;-3.687167025;0.000226765;0.396459347;G protein-coupled receptor 37-like 1;;;
ENSRNOG00000007970;Plxnc1;4886.366463;1.600531289;0.678550881;0.184601301;3.675764341;0.000237138;0.396459347;plexin C1;;;
ENSRNOG00000003407;Ptpn14;246.6857107;3.36935513;1.752472496;0.481149258;3.642263743;0.000270251;0.396459347;protein tyrosine phosphatase; non-receptor type 14;;
ENSRNOG00000021441;Reln;8660.678066;1.866812255;0.900576843;0.247360082;3.640752527;0.000271842;0.396459347;reelin;;;
ENSRNOG00000011452;Aldoc;26173.75281;0.67861178;-0.559341621;0.154044763;-3.631033012;0.000282289;0.396459347;aldolase; fructose-bisphosphate C;;
ENSRNOG00000055293;Ptprb;4884.223684;2.282872825;1.190850492;0.329038467;3.619183204;0.000295534;0.396459347;protein tyrosine phosphatase; receptor type; B;
ENSRNOG00000053086;Selenop;13888.32998;0.609060591;-0.715342337;0.200991092;-3.559074834;0.000372163;0.463310102;selenoprotein P;;;
ENSRNOG00000001420;Fis1;3258.444619;0.639100046;-0.645886305;0.182268462;-3.543598809;0.000394705;0.463310102;fission; mitochondrial 1;;
ENSRNOG00000049289;Robo4;230.9948536;5.038254605;2.33292403;0.673655763;3.463080339;0.000534029;0.589976302;roundabout guidance receptor 4;;;
ENSRNOG00000013323;Rnf217;1435.346888;1.585068031;0.664544762;0.194655922;3.413945772;0.000640293;0.641247924;ring finger protein 217;;;
ENSRNOG00000001295;S100b;35037.32861;0.687016307;-0.541583751;0.159430511;-3.396989373;0.000681316;0.641247924;S100 calcium binding protein B;;;
