;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;
ENSRNOG00000000024;Hebp1;1239.550825;1.146741636;0.197540385;0.0915038;2.15882165;0.030864006;0.247313968;heme binding protein 1;;;;ENSG00000013583
ENSRNOG00000000034;Nuak2;106.1100617;0.722991959;-0.467948493;0.221923162;-2.108605922;0.034978611;0.260627715;NUAK family kinase 2;;;;ENSG00000163545
ENSRNOG00000000036;Klhdc8a;818.2189295;1.197291614;0.25977458;0.104705657;2.480998507;0.013101492;0.171984743;kelch domain containing 8A;;;;ENSG00000162873
ENSRNOG00000000040;RGD1304622;299.5407334;0.612418335;-0.707410619;0.170977529;-4.137447896;3.51E-05;0.01114085;similar to 6820428L09 protein;;;;ENSG00000135835
ENSRNOG00000000047;Cd82;742.3032889;0.665345031;-0.587825416;0.235563647;-2.495399544;0.012581537;0.16845344;Cd82 molecule;;;;ENSG00000085117
ENSRNOG00000000073;Tmed5;2257.643195;0.781881724;-0.354977708;0.134389493;-2.641409695;0.008256181;0.135744111;transmembrane p24 trafficking protein 5;;;;ENSG00000117500
ENSRNOG00000000105;Cplx2;19429.64283;0.709323036;-0.495485294;0.224194057;-2.210073269;0.027100078;0.235952172;complexin 2;;;;ENSG00000145920
ENSRNOG00000000151;Ldlrap1;441.7730721;0.514178771;-0.959658048;0.365619404;-2.624745948;0.008671364;0.138591672;low density lipoprotein receptor adaptor protein 1;;;;ENSG00000157978
ENSRNOG00000000155;Cog3;1694.501117;1.123721871;0.168285003;0.06623474;2.54073623;0.011061934;0.157990946;component of oligomeric golgi complex 3;;;;ENSG00000136152
ENSRNOG00000000164;Lamp2;7102.953679;0.857463492;-0.221852848;0.097757104;-2.269429421;0.023242225;0.218048868;lysosomal-associated membrane protein 2;;;;ENSG00000005893
ENSRNOG00000000168;Gatm;6183.631527;0.704983348;-0.504338914;0.165449475;-3.048295638;0.002301434;0.077774773;glycine amidinotransferase;;;;ENSG00000171766
ENSRNOG00000000175;Mier2;754.0082235;1.254755064;0.327405769;0.119569299;2.738209315;0.006177474;0.118633215;MIER family member 2;;;;ENSG00000105556
ENSRNOG00000000177;Plpp2;65.13652596;0.494440155;-1.016132182;0.434156267;-2.340475675;0.019259193;0.201730351;phospholipid phosphatase 2;;;;ENSG00000141934
ENSRNOG00000000221;Abhd5;1018.298993;0.825365469;-0.276895014;0.062250675;-4.44806443;8.66E-06;0.006398054;abhydrolase domain containing 5; lysophosphatidic acid acyltransferase;;;ENSG00000011198
ENSRNOG00000000247;Mfsd11;1554.463187;1.175243896;0.232960187;0.092949388;2.506312232;0.012199784;0.165931223;major facilitator superfamily domain containing 11;;;;ENSG00000092931
ENSRNOG00000000274;Phyhipl;5381.866486;0.876175553;-0.190708134;0.067086567;-2.842717153;0.004473075;0.101628259;phytanoyl-CoA 2-hydroxylase interacting protein-like;;;;ENSG00000165443
ENSRNOG00000000304;Cd164;4290.219938;0.818030084;-0.289774195;0.10010672;-2.894652782;0.003795781;0.095799451;CD164 molecule;;;;ENSG00000135535
ENSRNOG00000000327;Hace1;4876.418748;1.143534002;0.193499264;0.068256034;2.834903417;0.004583954;0.102462859;HECT domain and ankyrin repeat containing; E3 ubiquitin protein ligase 1;;;ENSG00000085382
ENSRNOG00000000368;Grik2;10199.1674;1.256257835;0.329132594;0.102456979;3.212397992;0.001316319;0.058139452;glutamate ionotropic receptor kainate type subunit 2;;;;ENSG00000164418
ENSRNOG00000000394;Srgn;449.8424587;0.719340365;-0.475253534;0.180993933;-2.625798153;0.008644606;0.138591672;serglycin;;;;ENSG00000122862
ENSRNOG00000000414;Cep85l;854.6203627;1.1801612;0.238983932;0.105530615;2.264593384;0.023537643;0.219227835;centrosomal protein 85-like;;;;ENSG00000111860
ENSRNOG00000000474;Ralgdsl2;726.7923771;1.157766034;0.211343737;0.098613034;2.143162296;0.032100069;0.252180407;ral guanine nucleotide dissociation stimulator like 2;;;;ENSG00000237441
ENSRNOG00000000485;Bak1;309.4209871;0.850658849;-0.23334743;0.110615352;-2.109539283;0.034898059;0.260455103;BCL2-antagonist/killer 1;;;;ENSG00000030110
ENSRNOG00000000490;Rps10;1227.288921;0.799515314;-0.322802428;0.130931317;-2.465433302;0.013684765;0.1744525;ribosomal protein S10;;;;ENSG00000124614
ENSRNOG00000000503;Ppard;1050.562039;0.775492604;-0.366815073;0.165793941;-2.212475739;0.026933811;0.23494301;peroxisome proliferator-activated receptor delta;;;;ENSG00000112033
ENSRNOG00000000504;Fance;392.9557008;1.201965717;0.265395747;0.116749826;2.273200357;0.023014109;0.217604093;FA complementation group E;;;;ENSG00000112039
ENSRNOG00000000513;Mapk14;3831.857321;1.16287159;0.217691796;0.074166738;2.935167466;0.003333677;0.090832723;mitogen activated protein kinase 14;;;;ENSG00000112062
ENSRNOG00000000540;Btbd9;2981.637622;1.12220944;0.166341954;0.082113748;2.025750349;0.042790374;0.284210316;BTB domain containing 9;;;;ENSG00000183826
ENSRNOG00000000546;Nt5dc1;814.1815453;1.176843675;0.234922694;0.08969354;2.619170734;0.008814382;0.139728052;5'-nucleotidase domain containing 1;;;;ENSG00000178425
