,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000009,Tmco5b,5.03653689939171,1.86385001485632,0.898285770116125,0.413480168062146,2.17250025394474,0.0298179505061387,NA,transmembrane and coiled-coil domains 5B
ENSRNOG00000000040,RGD1304622,292.657981513983,0.753225670801764,-0.408845925382257,0.176240435315633,-2.31981908493386,0.0203506662089864,0.281254859307127,similar to 6820428L09 protein
ENSRNOG00000000044,Tmem175,2394.7135040546,1.08894937850406,0.122936889703478,0.0618975305372758,1.98613561213793,0.0470182679378673,0.358759827731078,transmembrane protein 175
ENSRNOG00000000068,Ppp2r5a,2052.05832002094,0.943993840092129,-0.0831506493866154,0.0423090741766809,-1.96531479368662,0.0493778144036904,0.364489778650736,protein phosphatase 2, regulatory subunit B', alpha
ENSRNOG00000000105,Cplx2,19534.8749636172,0.718111333227237,-0.477720563592196,0.170877552962373,-2.79568940045268,0.00517891461505114,0.194849953442928,complexin 2
ENSRNOG00000000155,Cog3,1578.20224708238,1.11809570189138,0.161043678999555,0.0564246823154942,2.85413532501772,0.00431541447245403,0.187179110802706,component of oligomeric golgi complex 3
ENSRNOG00000000166,Apex2,277.309136775789,1.15696528618473,0.210345578187445,0.0953189531018452,2.20675501925307,0.0273311791152173,0.300126508077004,apurinic/apyrimidinic endodeoxyribonuclease 2
ENSRNOG00000000167,Alas2,97.2060801707124,0.593985542777414,-0.751500277694915,0.37697583150638,-1.99349723480137,0.0462070260339467,0.35655635001403,5'-aminolevulinate synthase 2
ENSRNOG00000000168,Gatm,5893.76696323717,0.813248787902607,-0.298231327867744,0.127676539769218,-2.33583498117049,0.0194998436921398,0.278339185891924,glycine amidinotransferase
ENSRNOG00000000186,Tst,1314.34110904185,0.822622092607262,-0.281698277040145,0.133965962667698,-2.10276007002537,0.0354867481048486,0.328795584481659,thiosulfate sulfurtransferase
ENSRNOG00000000195,Vwa5a,534.420717711948,0.863823451205067,-0.21119161131534,0.106070300535671,-1.99105320008325,0.0464750388072532,0.357201459328338,von Willebrand factor A domain containing 5A
ENSRNOG00000000221,Abhd5,937.067237793551,0.888604575206215,-0.170386525438698,0.0795697123222021,-2.14134901919402,0.0322459028609636,0.319555577601691,abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ENSRNOG00000000248,Srsf2,4702.69216965679,1.11562571590043,0.157853094923854,0.0650907287928287,2.42512409756957,0.0153031546491969,0.259073216229329,serine and arginine rich splicing factor 2
ENSRNOG00000000303,Cep57l1,542.639863648096,1.13733706837569,0.185659883788134,0.0851600614479177,2.18012857942428,0.0292479318323484,0.310568470329951,centrosomal protein 57-like 1
ENSRNOG00000000327,Hace1,4432.29608749027,1.07967128827564,0.110592142982869,0.0529005787313177,2.09056584323145,0.0365670003101137,0.333043704309734,HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1
ENSRNOG00000000368,Grik2,9159.22424370128,1.25981177562007,0.333208201452005,0.107287850132244,3.10574031487527,0.00189803322053994,0.143617847020855,glutamate ionotropic receptor kainate type subunit 2
ENSRNOG00000000394,Srgn,447.837533961873,0.789375301519887,-0.341216714916816,0.151639150213071,-2.25018878328825,0.0244369640232576,0.293051373386533,serglycin
ENSRNOG00000000414,Cep85l,813.407315889577,1.17899058533718,0.237552197926167,0.101786719062512,2.33382311674939,0.0196049858372881,0.278371417706318,centrosomal protein 85-like
ENSRNOG00000000438,Rnf5,1499.3462853442,0.857226651828813,-0.222251389689133,0.0980143155811263,-2.26754008709244,0.0233572529378569,0.291774867309703,ring finger protein 5
ENSRNOG00000000490,Rps10,1143.96140516361,0.847974527129139,-0.237907167523929,0.0854073153738098,-2.78555960321033,0.00534354151382642,0.197100963425578,ribosomal protein S10
