,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000001,Arsj,118.183458671293,0.905798637864919,-0.142737725014687,0.181698115721729,-0.785576253489002,0.432115780902455,0.999879841468054,arylsulfatase family, member J
ENSRNOG00000000007,Gad1,7559.69602965965,0.956112069244468,-0.0647483634311108,0.127413735048786,-0.508174125861071,0.611331234615572,0.999879841468054,glutamate decarboxylase 1
ENSRNOG00000000008,Alx4,5.71015297139351,0.174541503273221,-2.51835796706544,0.983620386432907,-2.56029460328516,0.0104583464475362,0.999879841468054,ALX homeobox 4
ENSRNOG00000000009,Tmco5b,4.88318316497261,2.12905486162798,1.09021312573143,0.587437587937816,1.85587907229191,0.0634707965654857,0.999879841468054,transmembrane and coiled-coil domains 5B
ENSRNOG00000000010,Cbln1,277.583080015391,0.850809377584113,-0.233092160178883,0.483207853591137,-0.482384875259318,0.629532563432069,0.999879841468054,cerebellin 1 precursor
ENSRNOG00000000012,Tcf15,40.5694950164344,0.855338561959402,-0.225432511170594,0.229802713245477,-0.980982809066251,0.326601219077232,0.999879841468054,transcription factor 15
ENSRNOG00000000017,Steap1,8.28470606511253,0.758672232222312,-0.398451359548439,0.451326207496326,-0.882845606858943,0.377319695385234,0.999879841468054,STEAP family member 1
ENSRNOG00000000021,NA,0.474803342240633,0.929808947720137,-0.104993785647653,2.57594897503597,-0.0407592645138427,0.967487814561758,0.999879841468054,NA
ENSRNOG00000000024,Hebp1,1093.53684766578,0.999738921338571,-0.000376706067223447,0.156072442547105,-0.00241366163734992,0.998074178514453,0.999879841468054,heme binding protein 1
ENSRNOG00000000033,Tmcc2,7256.24213699744,0.94080200322997,-0.0880369628095284,0.149624809893005,-0.588384793086671,0.556274042530127,0.999879841468054,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,97.3539165605573,0.780353071895673,-0.357801073705002,0.22800034783612,-1.56930056072624,0.116577921729015,0.999879841468054,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,696.722902943433,0.98528402846433,-0.0213884237300602,0.238119682014935,-0.0898221581226485,0.928428539726266,0.999879841468054,kelch domain containing 8A
ENSRNOG00000000040,RGD1304622,289.319213854476,0.806060254865577,-0.31104040731701,0.227994660322695,-1.36424426289973,0.172490701551871,0.999879841468054,similar to 6820428L09 protein
ENSRNOG00000000041,Slc26a1,81.2770429503349,0.903686002933158,-0.146106517714484,0.151120117448972,-0.966823743793204,0.333632152649911,0.999879841468054,solute carrier family 26 member 1
ENSRNOG00000000042,Xpr1,2032.90658577193,1.0036077878681,0.00519557103219519,0.0859619464927345,0.0604403604638516,0.951804914394558,0.999879841468054,xenotropic and polytropic retrovirus receptor 1
ENSRNOG00000000043,Idua,1384.09638160102,1.11718616828478,0.159869617049076,0.194869443969611,0.820393458268434,0.411991843532992,0.999879841468054,alpha-L-iduronidase
ENSRNOG00000000044,Tmem175,2394.93547118783,1.07258175265038,0.101087614762848,0.0776207615548983,1.3023270158378,0.192804620168065,0.999879841468054,transmembrane protein 175
ENSRNOG00000000047,Cd82,689.123303198557,0.817242876429789,-0.29116319821964,0.250379633392043,-1.16288691006963,0.244875389027848,0.999879841468054,Cd82 molecule
ENSRNOG00000000048,Gak,15258.5059962295,0.928422885494184,-0.107146009535821,0.129169172975086,-0.82950139780246,0.406820746164058,0.999879841468054,cyclin G associated kinase
ENSRNOG00000000053,Crp,0.661968038078026,2.07847619456472,1.05552622442122,1.72101584492261,0.61331580852975,0.539667542521088,0.999879841468054,C-reactive protein
ENSRNOG00000000054,Abhd8,4965.73095180257,0.878705752438752,-0.18654795632881,0.228031708170966,-0.818079019909577,0.413312067791237,0.999879841468054,abhydrolase domain containing 8
ENSRNOG00000000062,Pcgf3,2585.12486428419,1.04236723990642,0.0598636479142716,0.0718990674428824,0.832606736684423,0.405066558391943,0.999879841468054,polycomb group ring finger 3
ENSRNOG00000000064,Atp5me,1593.13767371651,0.904676205717758,-0.144526567876162,0.114445331627119,-1.26284371604647,0.206645350536239,0.999879841468054,ATP synthase membrane subunit e
ENSRNOG00000000065,Pde6b,5.16960753866489,0.613830328090837,-0.704088166734756,0.73301142610025,-0.960541871060086,0.336782568296292,0.999879841468054,phosphodiesterase 6B
ENSRNOG00000000066,Fbxo28,1502.23135285345,1.09762495924662,0.134385192902444,0.101806287459629,1.32000877603688,0.186832087912646,0.999879841468054,F-box protein 28
ENSRNOG00000000068,Ppp2r5a,2041.58541821003,0.977996392876093,-0.0320989507623785,0.0631627587689966,-0.508194249079163,0.611317123577395,0.999879841468054,protein phosphatase 2, regulatory subunit B', alpha
ENSRNOG00000000070,Dr1,2061.1801354039,0.952847831803951,-0.0696822583285953,0.0895076241762032,-0.778506400654987,0.436270534749456,0.999879841468054,down-regulator of transcription 1
