,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000073,Tmed5,2257.64319461471,0.700263772497139,-0.514029641981469,0.259476580826013,-1.98102518672443,0.0475884491185281,0.999244753663723,transmembrane p24 trafficking protein 5
ENSRNOG00000000151,Ldlrap1,441.773072072476,0.365950292767844,-1.45028039514163,0.630855085913152,-2.29891210759184,0.0215099307423911,0.999244753663723,low density lipoprotein receptor adaptor protein 1
ENSRNOG00000000156,Megf6,126.571569661655,2.82152159466421,1.49647339136704,0.705553523121724,2.12099201878532,0.0339224740778337,0.999244753663723,multiple EGF-like-domains 6
ENSRNOG00000000168,Gatm,6183.63152738141,0.659290046393447,-0.601014794397029,0.212855854996991,-2.82357652038994,0.0047491087864883,0.999244753663723,glycine amidinotransferase
ENSRNOG00000000186,Tst,1437.35582981224,0.766125045225364,-0.384348210043526,0.194846761493456,-1.97256658051478,0.0485449636885027,0.999244753663723,thiosulfate sulfurtransferase
ENSRNOG00000000307,Mical1,333.254927905493,1.76931206546979,0.82318852829949,0.369196797111451,2.22967407826941,0.0257690879818759,0.999244753663723,microtubule associated monooxygenase, calponin and LIM domain containing 1
ENSRNOG00000000368,Grik2,10199.1673972501,1.35468688027802,0.437959428351978,0.21051961760977,2.08037347456997,0.037491290281202,0.999244753663723,glutamate ionotropic receptor kainate type subunit 2
ENSRNOG00000000438,Rnf5,1658.9507154474,0.729540844460508,-0.454939342993603,0.23074637800698,-1.97159906440586,0.0486553940937237,0.999244753663723,ring finger protein 5
ENSRNOG00000000463,Col11a2,4175.50927042662,1.31541298802843,0.395515820231942,0.198861728999799,1.98889862932018,0.0467123931045549,0.999244753663723,collagen type XI alpha 2 chain
ENSRNOG00000000481,Cuta,747.344860489688,0.684586688720315,-0.546694854400396,0.238289993210238,-2.29424176414348,0.0217766155892204,0.999244753663723,cutA divalent cation tolerance homolog
ENSRNOG00000000491,Spdef,12.4998748782349,0.0142124443475114,-6.13670148989038,2.54165863483747,-2.41444756025736,0.0157590912730506,0.999244753663723,SAM pointed domain containing ets transcription factor
ENSRNOG00000000567,Unc5b,1413.19509449965,0.574359923551115,-0.799973007479825,0.401634693176139,-1.99179259429412,0.046393819145785,0.999244753663723,unc-5 netrin receptor B
ENSRNOG00000000593,Rev3l,6834.49860149933,1.34912203069306,0.432020848740813,0.209480615491449,2.06234284603029,0.0391751065448438,0.999244753663723,REV3 like, DNA directed polymerase zeta catalytic subunit
ENSRNOG00000000648,Jmjd1c,7499.39771239762,1.37370602333384,0.458073296691367,0.207620173085852,2.20630437728203,0.02736269511019,0.999244753663723,jumonji domain containing 1C
ENSRNOG00000000699,Selplg,1248.27698273471,0.707438434223826,-0.499323493945995,0.248467160325566,-2.00961565017982,0.0444718835663618,0.999244753663723,selectin P ligand
ENSRNOG00000000700,Tmem119,443.041154149939,0.541550733953505,-0.884831595106336,0.373104372384626,-2.37153906680617,0.0177141738993831,0.999244753663723,transmembrane protein 119
ENSRNOG00000000886,Caln1,3091.70344761673,1.47236857185444,0.558138860408064,0.274142457552303,2.03594461577181,0.0417559170151991,0.999244753663723,calneuron 1
ENSRNOG00000000894,Fry,14725.3714069707,1.33016884603068,0.411609386982196,0.167583739091043,2.45614156370256,0.0140437822648537,0.999244753663723,FRY microtubule binding protein
ENSRNOG00000000920,Phkg1,150.195331590973,0.5306167382733,-0.914257908874085,0.436533107247029,-2.09436098590506,0.0362278354207416,0.999244753663723,phosphorylase kinase catalytic subunit gamma 1
ENSRNOG00000000955,Lnx2,541.454626552952,1.54937505273098,0.631686415412259,0.309353142232397,2.04195894327692,0.0411556040994343,0.999244753663723,ligand of numb-protein X 2
ENSRNOG00000001036,Rsph10b,362.31387853641,2.09185422236316,1.06478231621118,0.47875200878166,2.22407905696493,0.0261431256899353,0.999244753663723,radial spoke head 10 homolog B
ENSRNOG00000001047,Map2k7,2154.13644096372,0.748843422850218,-0.417264000625332,0.198520123853386,-2.10187255843895,0.0355644409673479,0.999244753663723,mitogen activated protein kinase kinase 7
