,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000001,Arsj,105.511660860455,0.645608198441685,-0.631269195676777,0.286763374927228,-2.20135920717551,0.0277106044528508,0.54743570577855,arylsulfatase family, member J
ENSRNOG00000000007,Gad1,6620.90182876098,0.99967933778553,-0.000462691974498063,0.19092801782223,-0.00242338437163721,0.998066420917564,0.999577018718783,glutamate decarboxylase 1
ENSRNOG00000000008,Alx4,7.07877589646424,0.362581963029017,-1.46362093620303,1.50095103868236,-0.975129033847698,0.329496258366164,NA,ALX homeobox 4
ENSRNOG00000000009,Tmco5b,4.71537871323847,2.00122605133855,1.000884138121,1.15185137167459,0.868935144528142,0.38488260539314,NA,transmembrane and coiled-coil domains 5B
ENSRNOG00000000010,Cbln1,220.479996819059,0.692096924335836,-0.530954001437459,0.946455760886763,-0.560991885072359,0.574803069219242,0.891437124089205,cerebellin 1 precursor
ENSRNOG00000000012,Tcf15,38.6021629203941,0.641414565475063,-0.64067097949251,0.454330797245904,-1.41014208892766,0.158497731516003,0.696091518247387,transcription factor 15
ENSRNOG00000000017,Steap1,8.04473727344446,0.772850885552758,-0.371738008584044,0.897206864234527,-0.414328092441871,0.678633842881176,NA,STEAP family member 1
ENSRNOG00000000024,Hebp1,964.36024728342,0.737726971837849,-0.438841112281728,0.210356341800779,-2.08617961562261,0.0369623559980002,0.581962619562989,heme binding protein 1
ENSRNOG00000000033,Tmcc2,6586.8101814436,0.71960545993266,-0.474721961955708,0.175686253156669,-2.70210078151289,0.00689028736373718,0.422596214502296,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,89.4103423237322,0.618887744955445,-0.692250340508547,0.323529599650221,-2.13968162807039,0.0323805047725925,0.563807331311823,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,590.385958476807,0.541328340964111,-0.885424173308039,0.287131460308036,-3.08368916578542,0.00204451085445118,0.315614571668789,kelch domain containing 8A
ENSRNOG00000000040,RGD1304622,279.059086934179,0.915249178235577,-0.127763521693232,0.37054210879269,-0.344801626216017,0.730243510425462,0.936570409015558,similar to 6820428L09 protein
ENSRNOG00000000041,Slc26a1,77.9671846180323,1.04728976374594,0.0666606618315565,0.302726970936198,0.220200603948188,0.825714926289125,0.959015825679789,solute carrier family 26 member 1
ENSRNOG00000000042,Xpr1,1849.28799943059,1.11624596319399,0.158654957975346,0.145803028984984,1.08814582989004,0.276530734287589,0.769633520272239,xenotropic and polytropic retrovirus receptor 1
ENSRNOG00000000043,Idua,1296.75372335261,0.873545256465194,-0.195045646941006,0.296923660161635,-0.656888194207324,0.511252809846921,0.875609652894605,alpha-L-iduronidase
ENSRNOG00000000044,Tmem175,2205.38868467511,1.02482497409765,0.0353775384501002,0.157279538287632,0.224934144868876,0.822030506086563,0.958554369603575,transmembrane protein 175
ENSRNOG00000000047,Cd82,640.131010357077,0.723370296732777,-0.467193736092079,0.305691783595012,-1.52831630146471,0.126434024443921,0.66654503003015,Cd82 molecule
ENSRNOG00000000048,Gak,14008.4415994179,1.09887589647092,0.136028462123461,0.197856581240233,0.687510424322445,0.491761134012664,0.868988274961363,cyclin G associated kinase
ENSRNOG00000000054,Abhd8,4542.92035518301,0.598069242911973,-0.741615569289027,0.333551130468557,-2.22339396136131,0.0261892465382683,0.543926448779747,abhydrolase domain containing 8
ENSRNOG00000000062,Pcgf3,2272.41866062471,1.06372992575139,0.0891319062546553,0.158204340601892,0.56339735000665,0.573164341281394,0.89084459415104,polycomb group ring finger 3
ENSRNOG00000000064,Atp5me,1461.66738854627,0.837932873462529,-0.255093420177119,0.205552345905995,-1.24101439491126,0.21460043121302,0.733709763805709,ATP synthase membrane subunit e
ENSRNOG00000000065,Pde6b,5.48295663704725,0.81350328510897,-0.297779923051206,1.19364948620651,-0.249470155596152,0.802997123629673,NA,phosphodiesterase 6B
ENSRNOG00000000066,Fbxo28,1380.54695743988,1.08362290588958,0.115862795020259,0.195474681048989,0.59272533096612,0.553364986118964,0.886740143407306,F-box protein 28
ENSRNOG00000000068,Ppp2r5a,1880.70269275394,0.995742998674502,-0.00615466422266768,0.138493079922299,-0.0444402292599797,0.964553494996611,0.991545495607948,protein phosphatase 2, regulatory subunit B', alpha
ENSRNOG00000000070,Dr1,1815.17193805707,0.990882317440721,-0.0132143695909087,0.172565970960542,-0.0765757554479278,0.938961046657693,0.985688218219546,down-regulator of transcription 1
ENSRNOG00000000073,Tmed5,1942.99087932843,1.2405517284964,0.310981893948018,0.199513353649845,1.55870215330953,0.119066891900475,0.660499846125227,transmembrane p24 trafficking protein 5
ENSRNOG00000000075,Mtf2,1364.06058647314,1.13801331828474,0.186517441748986,0.170009342746489,1.09710112830159,0.272597187065172,0.766616219393552,metal response element binding transcription factor 2
ENSRNOG00000000081,Antxr2,238.125370761297,0.780865889453127,-0.356853302262373,0.232926489363623,-1.53204259093643,0.125511924983409,0.664721046236687,ANTXR cell adhesion molecule 2
ENSRNOG00000000082,Hltf,1703.57402615076,1.13566372668753,0.183535711903469,0.217699567283841,0.843068795190447,0.399189969551943,0.835177957955875,helicase-like transcription factor
ENSRNOG00000000091,Smad9,558.977376503714,0.994860124004403,-0.00743439595551221,0.230598783694041,-0.0322395280513542,0.97428103372467,0.993200607464307,SMAD family member 9
ENSRNOG00000000095,Gpr89b,2378.19472167749,1.05924180008395,0.0830319603996988,0.126532303981347,0.656211558527685,0.511688012919254,0.875609652894605,G protein-coupled receptor 89B
ENSRNOG00000000096,Pdzk1,2.98353838838686,1.95660600049048,0.968353271362871,1.37073535883367,0.706448013558813,0.479909571186561,NA,PDZ domain containing 1
ENSRNOG00000000097,NA,1.57062137552222,0.486971557669927,-1.0380905829634,2.03702848862318,-0.509610242940216,0.610324546393903,NA,NA
ENSRNOG00000000098,Rnf115,3113.63303183775,1.05941301623818,0.0832651392028337,0.163348742783865,0.509738475997981,0.610234693480074,0.903151907147919,ring finger protein 115
ENSRNOG00000000104,Thoc3,712.618577001375,0.94396290813511,-0.0831979231189635,0.154627673296558,-0.538053256220183,0.590540282098406,0.896167556538429,THO complex subunit 3
ENSRNOG00000000105,Cplx2,18854.1513732205,1.01408684740532,0.0201812114691146,0.30059368428004,0.0671378426245089,0.946471967785914,0.986902449395409,complexin 2
ENSRNOG00000000108,Aga,843.986136962215,1.12425271288075,0.168966365309913,0.241141491049275,0.700693873023232,0.483494080538742,0.867924773927822,aspartylglucosaminidase
ENSRNOG00000000109,Fgf20,18.76807742952,1.69459730077772,0.760942476195978,0.54738269097495,1.39014712876773,0.164484204566507,0.699773181420339,fibroblast growth factor 20
ENSRNOG00000000111,Coprs,390.328059207115,0.883878083856031,-0.178080707110176,0.161124685700498,-1.1052354040969,0.269057599647963,0.764474548121734,coordinator of PRMT5 and differentiation stimulator
ENSRNOG00000000112,Champ1,1297.40939983599,1.07902639586689,0.109730157430637,0.174181133067069,0.629977285705139,0.528709445527484,0.8824078209067,chromosome alignment maintaining phosphoprotein 1
ENSRNOG00000000113,Elac1,590.955664266121,0.911134797536411,-0.134263586029009,0.161836401654206,-0.829625378818593,0.4067506232654,0.836637437100631,elaC ribonuclease Z 1
ENSRNOG00000000121,Pigv,285.820772125772,0.856092331582521,-0.224161691797559,0.183893692049593,-1.21897433946297,0.222853932066108,0.738742831511046,phosphatidylinositol glycan anchor biosynthesis, class V
ENSRNOG00000000122,Ak2,298.962841187044,0.79703614586217,-0.327282942473834,0.218022572378862,-1.50114246842803,0.133318716505552,0.673279406486163,adenylate kinase 2
ENSRNOG00000000123,Rnf19b,1493.7266529604,0.980679783130689,-0.0281459581416168,0.1996838977208,-0.140952567847863,0.887907413511634,0.975090372657355,ring finger protein 19B
ENSRNOG00000000127,Kpna6,1686.45631871097,1.00197503395823,0.00284656159362534,0.143631202135789,0.019818546049167,0.984188123180958,0.995949752273095,karyopherin subunit alpha 6
ENSRNOG00000000129,Phf24,12763.5822844756,1.02904426756865,0.0413050456216562,0.138331252211484,0.298595183382768,0.765248940984559,0.945109582095011,PHD finger protein 24
ENSRNOG00000000130,Dnajb5,4587.79637385388,1.25240047510181,0.324695960879936,0.121565925518466,2.67094549311528,0.00756379280534877,0.42767283811572,DnaJ heat shock protein family (Hsp40) member B5
ENSRNOG00000000133,Txndc15,2418.89882564321,1.01389198823614,0.0199039675916375,0.121580776103274,0.163709825102042,0.869959582593768,0.970053082157962,thioredoxin domain containing 15
