;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;
ENSRNOG00000051360;RGD1563270;33.72776552;1.86E-07;-22.35529307;4.141953755;-5.39728215;6.77E-08;0.001071837;similar to synaptonemal complex protein 3;;;;
ENSRNOG00000019422;Egr1;7554.206232;2.073231028;1.05188089;0.201290734;5.225679641;1.74E-07;0.001374425;early growth response 1;;;;
ENSRNOG00000026124;Id3;896.97486;0.493017918;-1.020288014;0.198827346;-5.13152761;2.87E-07;0.001517664;inhibitor of DNA binding 3;;;;
ENSRNOG00000001628;Pcp4;2296.296729;2.018812952;1.013507247;0.206650776;4.904444428;9.37E-07;0.003710677;Purkinje cell protein 4;;;;
ENSRNOG00000021285;Celsr1;1021.596368;0.554260651;-0.851363506;0.180033313;-4.728922052;2.26E-06;0.007151554;cadherin; EGF LAG seven-pass G-type receptor 1;;;
ENSRNOG00000007600;Igsf1;3473.362221;0.599382513;-0.7384511;0.158225979;-4.667066098;3.06E-06;0.008067039;immunoglobulin superfamily; member 1;;;
ENSRNOG00000005600;Nr4a2;680.413845;2.11736447;1.082269627;0.257197334;4.207934852;2.58E-05;0.053307002;nuclear receptor subfamily 4; group A; member 2;;
ENSRNOG00000018606;Olr59;1004.110584;1.685614336;0.75327449;0.181632255;4.147250653;3.36E-05;0.053307002;olfactory receptor 59;;;;
ENSRNOG00000027940;Plppr3;800.5607888;0.529123571;-0.918323407;0.220650407;-4.161893112;3.16E-05;0.053307002;phospholipid phosphatase related 3;;;;
ENSRNOG00000062526;Ankrd63;987.9646635;0.656966239;-0.606108862;0.144487352;-4.19489218;2.73E-05;0.053307002;ankyrin repeat domain 63;;;;
ENSRNOG00000057078;Ddit4;761.4060188;0.42771247;-1.225286824;0.299613201;-4.089562213;4.32E-05;0.06224295;DNA-damage-inducible transcript 4;;;;
ENSRNOG00000008716;Nefh;2887.809538;2.281558618;1.19001972;0.295666117;4.024876885;5.70E-05;0.064709454;neurofilament heavy chain;;;;
ENSRNOG00000013720;Aebp1;1160.090687;0.35672288;-1.487124343;0.369551446;-4.024133475;5.72E-05;0.064709454;AE binding protein 1;;;;
ENSRNOG00000019120;Hmgcs2;226.1202441;0.429792359;-1.218288262;0.302005517;-4.033993393;5.48E-05;0.064709454;3-hydroxy-3-methylglutaryl-CoA synthase 2;;;;
ENSRNOG00000022392;Hspb8;748.7824901;0.568276633;-0.815334699;0.20401734;-3.996399037;6.43E-05;0.067923411;heat shock protein family B (small) member 8;;;;
ENSRNOG00000002244;Pdgfra;3799.87556;0.72540176;-0.463147849;0.118164709;-3.919510777;8.87E-05;0.087330444;platelet derived growth factor receptor alpha;;;;
ENSRNOG00000002793;Sstr2;669.7836699;1.760803084;0.816233577;0.210459284;3.878344363;0.00010517;0.087330444;somatostatin receptor 2;;;;
ENSRNOG00000026061;Sirpb3;168.5745703;0.518358856;-0.947976883;0.24531166;-3.864377599;0.000111373;0.087330444;signal-regulatory protein beta 3;;;;
