x;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;;
ENSRNOG00000000001;Arsj;105.5116609;0.774652594;-0.368378641;0.188825282;-1.95089681;0.051069322;0.998987911;arylsulfatase family; member J;;;;
ENSRNOG00000000007;Gad1;6620.901829;0.90485976;-0.144233883;0.169501274;-0.850930966;0.394807702;0.998987911;glutamate decarboxylase 1;;;;;
ENSRNOG00000000008;Alx4;7.078775896;0.162917068;-2.617790337;1.1343704;-2.307703319;NA;NA;ALX homeobox 4;;;;;
ENSRNOG00000000009;Tmco5b;4.715378713;2.284513271;1.191886823;0.691449134;1.723751993;0.084752624;0.998987911;transmembrane and coiled-coil domains 5B;;;;;
ENSRNOG00000000010;Cbln1;220.4799968;0.962827835;-0.054650245;0.683698626;-0.079933238;0.936290354;0.998987911;cerebellin 1 precursor;;;;;
ENSRNOG00000000012;Tcf15;38.60216292;0.800945128;-0.320224686;0.275671353;-1.161617568;0.245390843;0.998987911;transcription factor 15;;;;;
ENSRNOG00000000017;Steap1;8.044737273;0.787972984;-0.343781929;0.539912378;-0.63673652;0.524296481;0.998987911;STEAP family member 1;;;;;
ENSRNOG00000000024;Hebp1;964.3602473;0.954999277;-0.066428454;0.204491795;-0.324846547;0.745297214;0.998987911;heme binding protein 1;;;;;
ENSRNOG00000000033;Tmcc2;6586.810181;0.8944254;-0.160966936;0.190157652;-0.846492029;0.397278319;0.998987911;transmembrane and coiled-coil domain family 2;;;;;
ENSRNOG00000000034;Nuak2;89.41034232;0.912373002;-0.132304339;0.248947149;-0.531455528;0.595103151;0.998987911;NUAK family kinase 2;;;;;
ENSRNOG00000000036;Klhdc8a;590.3859585;1.026017297;0.037055053;0.332808163;0.111340577;0.911346279;0.998987911;kelch domain containing 8A;;;;;
ENSRNOG00000000040;RGD1304622;279.0590869;1.011407364;0.016364188;0.265192174;0.061706905;0.950796241;0.998987911;similar to 6820428L09 protein;;;;;
ENSRNOG00000000041;Slc26a1;77.96718462;0.972622894;-0.040047544;0.18101829;-0.221234795;0.824909618;0.998987911;solute carrier family 26 member 1;;;;;
ENSRNOG00000000042;Xpr1;1849.287999;1.047778996;0.067334447;0.106614162;0.631571326;0.527667028;0.998987911;xenotropic and polytropic retrovirus receptor 1;;;;;
ENSRNOG00000000043;Idua;1296.753723;1.129429842;0.175594657;0.24989335;0.70267839;0.482256198;0.998987911;alpha-L-iduronidase;;;;;
