;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;;
ENSRNOG00000051360;RGD1563270;18.45150524;2.39E-07;-21.99627906;3.716327196;-5.918821971;3.24E-09;6.33E-05;similar to synaptonemal complex protein 3;;;;;
ENSRNOG00000007730;Vom2r53;14.81128304;0.121154052;-3.045085434;0.666731169;-4.567186259;4.94E-06;0.032186481;vomeronasal 2 receptor;53;;;;
ENSRNOG00000062866;NA;232.5068849;1.525497606;0.609279915;0.132298208;4.605352738;4.12E-06;0.032186481;NA;;;;;
ENSRNOG00000024705;Rarres2;239.202035;0.666684286;-0.584924371;0.133676364;-4.375675363;1.21E-05;0.059118221;retinoic acid receptor responder 2;;;;;
ENSRNOG00000014350;Ccn1;70.3989158;0.295097719;-1.760735326;0.415919664;-4.233354364;2.30E-05;0.089946762;cellular communication network factor 1;;;;;
ENSRNOG00000019141;Ch25h;54.5482856;0.458959325;-1.123561793;0.270194145;-4.158349887;3.21E-05;0.10436195;cholesterol 25-hydroxylase;;;;;
ENSRNOG00000007390;Nfkbia;732.8790246;0.676378323;-0.564097672;0.138037643;-4.086549579;4.38E-05;0.122181251;NFKB inhibitor alpha;;;;;
ENSRNOG00000069843;NA;169.5682047;1.666580939;0.736891385;0.18893299;3.900279062;9.61E-05;0.234607916;NA;;;;;
ENSRNOG00000015948;Slc1a5;52.99817538;0.470765221;-1.086920352;0.285570744;-3.806133414;0.000141156;0.278792466;solute carrier family 1 member 5;;;;;
ENSRNOG00000018735;Cd74;108.5612106;0.346349915;-1.529697776;0.408144119;-3.747935363;0.000178296;0.278792466;CD74 molecule;;;;;
ENSRNOG00000032844;RT1-Da;46.35644749;0.256474165;-1.963114585;0.525432285;-3.736189495;0.00018683;0.278792466;RT1 class II; locus Da;;;;
ENSRNOG00000033734;Tnnt2;38.82668535;0.186068109;-2.426097291;0.652307118;-3.719256196;0.00019981;0.278792466;troponin T2; cardiac type;;;;
