,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000008,Alx4,5.71015297139351,0.174541503273221,-2.51835796706544,0.983620386432907,-2.56029460328516,0.0104583464475362,0.999879841468054,ALX homeobox 4
ENSRNOG00000000221,Abhd5,939.168937727563,0.850023565023542,-0.234425257553082,0.0936646551267123,-2.50281450602625,0.0123210100773058,0.999879841468054,abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ENSRNOG00000000341,Nid2,148.332786956585,0.634870560139379,-0.655465615255445,0.289198005964032,-2.26649424179282,0.0234211393157815,0.999879841468054,nidogen 2
ENSRNOG00000000456,Psmb8,139.845438551038,0.775151296776367,-0.367450166686647,0.166116805614132,-2.2119987518914,0.0269667511731057,0.999879841468054,proteasome 20S subunit beta 8
ENSRNOG00000000562,Prf1,2.82799127601457,0.271379986155354,-1.88161376668437,0.959422702121228,-1.96119370797067,0.0498564305787097,0.999879841468054,perforin 1
ENSRNOG00000000593,Rev3l,6240.35873093314,1.13966689721351,0.188612213897546,0.0906799648035232,2.07997669944197,0.0375276700990038,0.999879841468054,REV3 like, DNA directed polymerase zeta catalytic subunit
ENSRNOG00000000648,Jmjd1c,7034.69474957292,1.12040859008077,0.164024949592012,0.0825885745464162,1.98604892375067,0.0470278918161665,0.999879841468054,jumonji domain containing 1C
ENSRNOG00000000886,Caln1,2803.03808731525,1.2332489376678,0.302464044581904,0.142311753554877,2.12536236134053,0.0335563883914658,0.999879841468054,calneuron 1
ENSRNOG00000000891,LOC102548389,1425.60765776257,1.21877986094906,0.285437566321014,0.111203993894405,2.56679239948932,0.0102644044446054,0.999879841468054,zinc finger protein 709-like
ENSRNOG00000000936,Stx2,846.53158663035,1.28680990838999,0.363798949845959,0.167534184031795,2.17149086288513,0.029894087096519,0.999879841468054,syntaxin 2
ENSRNOG00000001068,Rac1,3883.58548875239,0.911435867881889,-0.133786948599721,0.064145140333241,-2.0856911046524,0.0370066127277884,0.999879841468054,Rac family small GTPase 1
ENSRNOG00000001141,Srrm4,3380.54752883769,1.26759186530827,0.342090306457058,0.137536181528883,2.48727500396118,0.0128725849748941,0.999879841468054,serine/arginine repetitive matrix 4
ENSRNOG00000001243,Zcchc8,1133.28504695085,1.17323251355554,0.230488957877616,0.0913778895812794,2.52237120964146,0.0116566626263309,0.999879841468054,zinc finger CCHC-type containing 8
ENSRNOG00000001273,Psmg3,844.308276415133,0.833588302464237,-0.262593062106886,0.13068356557156,-2.00938091150485,0.0444967530092832,0.999879841468054,proteasome assembly chaperone 3
ENSRNOG00000001557,Cxadr,7719.28862388035,1.214668180158,0.28056225603551,0.139898669260704,2.00546765396801,0.04491307538044,0.999879841468054,CXADR, Ig-like cell adhesion molecule
ENSRNOG00000001607,Adamts1,269.152189198667,0.750352964306938,-0.41435869918748,0.18598563779433,-2.22790697228834,0.0258867191469246,0.999879841468054,ADAM metallopeptidase with thrombospondin type 1 motif, 1
ENSRNOG00000001620,Prdm15,1005.20226639781,1.17110626412554,0.22787198939279,0.109823905102186,2.07488514618712,0.0379971806778031,0.999879841468054,PR/SET domain 15
ENSRNOG00000001622,Impg2,90.9398593617298,1.4783622714365,0.563999844018932,0.236685268582173,2.38291063654906,0.0171763633564929,0.999879841468054,interphotoreceptor matrix proteoglycan 2
ENSRNOG00000001632,Brwd1,4255.06890935716,1.1277076181864,0.173393067319729,0.0733526130065007,2.36382945627802,0.018087136677176,0.999879841468054,bromodomain and WD repeat domain containing 1
ENSRNOG00000001713,Il13ra1-ps1,137.454479075295,0.786432597959117,-0.346604971658433,0.166133969483314,-2.08629802042529,0.0369516358846296,0.999879841468054,interleukin 13 receptor subunit alpha 1, pseudogene 1
ENSRNOG00000001786,Snx4,3714.56584669828,1.13799462369627,0.186493741840405,0.0691008034700618,2.69886502725261,0.00695763883650873,0.999879841468054,sorting nexin 4
ENSRNOG00000001825,Pkp2,393.908635127268,1.40509652755408,0.49066924435369,0.205759128061278,2.38467789486142,0.0170940810287664,0.999879841468054,plakophilin 2
ENSRNOG00000001830,Bmal2,286.495344854117,1.33890885202104,0.421057750644969,0.15837440879317,2.6586223989941,0.00784608448548618,0.999879841468054,basic helix-loop-helix ARNT like 2
ENSRNOG00000001845,Top3b,1320.09511892536,1.11580651586173,0.158086881282594,0.07357107837591,2.14876395415672,0.031653116114993,0.999879841468054,DNA topoisomerase III beta
ENSRNOG00000001865,Serpind1,3.16836498473677,0.0434399919800648,-4.52483235298424,1.6959904173543,-2.66795867870695,0.00763136431153764,0.999879841468054,serpin family D member 1
ENSRNOG00000001877,Med15,2761.11357916656,1.14426140385206,0.194416670089176,0.0900857728538419,2.15812845835939,0.030917845711047,0.999879841468054,mediator complex subunit 15
