,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000001,Arsj,105.511660860455,0.645608198441685,-0.631269195676777,0.286763374927228,-2.20135920717551,0.0277106044528508,0.54743570577855,arylsulfatase family, member J
ENSRNOG00000000024,Hebp1,964.36024728342,0.737726971837849,-0.438841112281728,0.210356341800779,-2.08617961562261,0.0369623559980002,0.581962619562989,heme binding protein 1
ENSRNOG00000000033,Tmcc2,6586.8101814436,0.71960545993266,-0.474721961955708,0.175686253156669,-2.70210078151289,0.00689028736373718,0.422596214502296,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,89.4103423237322,0.618887744955445,-0.692250340508547,0.323529599650221,-2.13968162807039,0.0323805047725925,0.563807331311823,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,590.385958476807,0.541328340964111,-0.885424173308039,0.287131460308036,-3.08368916578542,0.00204451085445118,0.315614571668789,kelch domain containing 8A
ENSRNOG00000000054,Abhd8,4542.92035518301,0.598069242911973,-0.741615569289027,0.333551130468557,-2.22339396136131,0.0261892465382683,0.543926448779747,abhydrolase domain containing 8
ENSRNOG00000000130,Dnajb5,4587.79637385388,1.25240047510181,0.324695960879936,0.121565925518466,2.67094549311528,0.00756379280534877,0.42767283811572,DnaJ heat shock protein family (Hsp40) member B5
ENSRNOG00000000150,Dnajc1,1263.31879171537,1.39700426211242,0.482336422264248,0.202561592014954,2.38118400169682,0.0172570896333409,0.509862613853172,DnaJ heat shock protein family (Hsp40) member C1
ENSRNOG00000000185,Mpst,304.520806392068,0.6220993514804,-0.684783092599005,0.281507240833786,-2.43255942749739,0.0149925310112533,0.506013585732417,mercaptopyruvate sulfurtransferase
ENSRNOG00000000186,Tst,1167.00573512889,0.671761958202892,-0.573977996644522,0.238891711390039,-2.40267020276558,0.0162758585141562,0.509663619161834,thiosulfate sulfurtransferase
ENSRNOG00000000245,Slc16a6,199.66734629925,1.52347846278254,0.607369104975862,0.255169891144986,2.38025380757308,0.0173007172720024,0.509862613853172,solute carrier family 16, member 6
ENSRNOG00000000257,Smpd3,2938.16077165298,0.78892751052301,-0.342035348531295,0.171354619883598,-1.99606727127428,0.0459266009193118,0.600345157273302,sphingomyelin phosphodiesterase 3
ENSRNOG00000000274,Phyhipl,4570.65682388405,1.30738590702046,0.386685050825721,0.18812954680572,2.05541903114798,0.0398385488785663,0.5867448237502,phytanoyl-CoA 2-hydroxylase interacting protein-like
