category	ID	term	count	gene	logFC	adj_pval	zscore	P-MAGMA	B-MAGMA
REACTOME	REACTOME Neuronal system	REACTOME_NEURONAL_SYSTEM	208	ENSG00000148943,ENSG00000177380,ENSG00000101152,ENSG00000147044,ENSG00000157551,ENSG00000069966,ENSG00000148660,ENSG00000116396,ENSG00000189108,ENSG00000005379,ENSG00000011132,ENSG00000108262,ENSG00000183943,ENSG00000182963,ENSG00000174021,ENSG00000079819,ENSG00000167083,ENSG00000071242,ENSG00000164418,ENSG00000146938,ENSG00000072133,ENSG00000243910,ENSG00000106688,ENSG00000104833,ENSG00000143603,ENSG00000099337,ENSG00000169992,ENSG00000078369,ENSG00000142949,ENSG00000174775,ENSG00000165995,ENSG00000184185,ENSG00000176533,ENSG00000042753,ENSG00000137841,ENSG00000179526,ENSG00000105426,ENSG00000143847,ENSG00000128011,ENSG00000117013,ENSG00000196586,ENSG00000176014,ENSG00000082458,ENSG00000149782,ENSG00000154146,ENSG00000174233,ENSG00000135750,ENSG00000100151,ENSG00000105649,ENSG00000102057,ENSG00000114353,ENSG00000136279,ENSG00000004660,ENSG00000067191,ENSG00000127824,ENSG00000167535,ENSG00000102882,ENSG00000069424,ENSG00000080845,ENSG00000121281,ENSG00000172354	-1.47	0.020393386	0	2.1731E-06	0.23512
MF	GOMF Voltage gated cation channel activity	GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	49	ENSG00000164626,ENSG00000157551,ENSG00000116396,ENSG00000005379,ENSG00000120049,ENSG00000143603,ENSG00000122986,ENSG00000099337,ENSG00000196218,ENSG00000165995,ENSG00000157388,ENSG00000184185,ENSG00000186815,ENSG00000117013,ENSG00000151062,ENSG00000162341,ENSG00000135750,ENSG00000102057,ENSG00000067191,ENSG00000167535,ENSG00000069424	-1.910602192	0.015012682	0	0.000031514	0.34904
MF	GOMFGated channel activity	GOMF_GATED_CHANNEL_ACTIVITY	123	ENSG00000164626,ENSG00000078668,ENSG00000157551,ENSG00000116396,ENSG00000185101,ENSG00000005379,ENSG00000110108,ENSG00000162572,ENSG00000120049,ENSG00000114859,ENSG00000164418,ENSG00000143603,ENSG00000122986,ENSG00000099337,ENSG00000196218,ENSG00000160746,ENSG00000165995,ENSG00000136295,ENSG00000146205,ENSG00000168447,ENSG00000157388,ENSG00000184185,ENSG00000141524,ENSG00000074855,ENSG00000186815,ENSG00000089041,ENSG00000108405,ENSG00000117013,ENSG00000151062,ENSG00000185989,ENSG00000162341,ENSG00000135750,ENSG00000182771,ENSG00000135124,ENSG00000167895,ENSG00000102057,ENSG00000196187,ENSG00000171714,ENSG00000067191,ENSG00000167535,ENSG00000096433,ENSG00000213719,ENSG00000069424	-1.739012423	0.014514683	0	0.00051623	0.18646
REACTOME	REACTOMERho GTPase effectors	REACTOME_RHO_GTPASE_EFFECTORS	280	ENSG00000133895,ENSG00000198901,ENSG00000188486,ENSG00000184009,ENSG00000142945,ENSG00000270882,ENSG00000196405,ENSG00000067560,ENSG00000197061,ENSG00000129810,ENSG00000123810,ENSG00000169679,ENSG00000277075,ENSG00000107404,ENSG00000111276,ENSG00000274641,ENSG00000163535,ENSG00000149636,ENSG00000278588,ENSG00000166851,ENSG00000197837,ENSG00000078304,ENSG00000177105,ENSG00000234289,ENSG00000108518,ENSG00000134690,ENSG00000275714,ENSG00000143228,ENSG00000119729,ENSG00000015285,ENSG00000114993,ENSG00000139734,ENSG00000100365,ENSG00000183598,ENSG00000177885,ENSG00000161202,ENSG00000203852,ENSG00000273802,ENSG00000243910,ENSG00000152253,ENSG00000184678,ENSG00000276180,ENSG00000112640,ENSG00000277157,ENSG00000203811,ENSG00000104833,ENSG00000197153,ENSG00000184922,ENSG00000126214,ENSG00000286522,ENSG00000156970,ENSG00000184260,ENSG00000122966,ENSG00000275379,ENSG00000180596,ENSG00000273983,ENSG00000197903,ENSG00000287080,ENSG00000185386,ENSG00000171475,ENSG00000115935,ENSG00000163932,ENSG00000273542,ENSG00000068971,ENSG00000274618,ENSG00000185130,ENSG00000154839,ENSG00000276966,ENSG00000158406,ENSG00000149503,ENSG00000197238,ENSG00000161888,ENSG00000158373,ENSG00000278705,ENSG00000158402,ENSG00000100162,ENSG00000176014,ENSG00000158195,ENSG00000278828,ENSG00000273703,ENSG00000124635,ENSG00000277775,ENSG00000270276,ENSG00000183856,ENSG00000128340,ENSG00000123143,ENSG00000055163,ENSG00000105568,ENSG00000158517,ENSG00000178999,ENSG00000127824,ENSG00000213672,ENSG00000180573,ENSG00000102882,ENSG00000160447,ENSG00000102901	-1.591	0.001990795	0	0.0007282	0.18321
MF	GOMF Voltage gated calcium channel activity	GOMF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	18	ENSG00000141837,ENSG00000196689,ENSG00000138448,ENSG00000182389,ENSG00000198216,ENSG00000164885,ENSG00000005379,ENSG00000196218,ENSG00000165995,ENSG00000157388,ENSG00000186815,ENSG00000151062,ENSG00000162341,ENSG00000067191,ENSG00000167535	-1.97267	0.019558789	0	0.00099665	0.46897
REACTOME	REACTOME Hedgehog off state	REACTOME_HEDGEHOG_OFF_STATE	95	ENSG00000197170,ENSG00000114446,ENSG00000166813,ENSG00000113558,ENSG00000114302,ENSG00000127922,ENSG00000118965,ENSG00000143106,ENSG00000187240,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000188191,ENSG00000103494,ENSG00000185627,ENSG00000113712,ENSG00000157796,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000142875,ENSG00000101052,ENSG00000164742,ENSG00000087191,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000164066,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	1.692	0.010348767	0	0.001246	0.25806
CC	GOCC Cation channel complex	GOCC_CATION_CHANNEL_COMPLEX	88	ENSG00000162572,ENSG00000120049,ENSG00000185482,ENSG00000164418,ENSG00000099337,ENSG00000196218,ENSG00000165995,ENSG00000168447,ENSG00000157388,ENSG00000099338,ENSG00000196296,ENSG00000143786,ENSG00000117013,ENSG00000151062,ENSG00000082458,ENSG00000160014,ENSG00000135750,ENSG00000102057,ENSG00000067191,ENSG00000167535,ENSG00000008710,ENSG00000069424,ENSG00000234965	-1.701835309	0.020987645	0	0.0020277	0.2049
REACTOME	REACTOME M phase	REACTOME_M_PHASE	381	ENSG00000274641,ENSG00000163535,ENSG00000149636,ENSG00000198089,ENSG00000221983,ENSG00000278588,ENSG00000143420,ENSG00000108106,ENSG00000166851,ENSG00000197837,ENSG00000078304,ENSG00000099341,ENSG00000234289,ENSG00000112984,ENSG00000129933,ENSG00000121152,ENSG00000126216,ENSG00000134690,ENSG00000025770,ENSG00000130640,ENSG00000157456,ENSG00000275714,ENSG00000143228,ENSG00000131351,ENSG00000126001,ENSG00000130724,ENSG00000183598,ENSG00000141551,ENSG00000175470,ENSG00000203852,ENSG00000273802,ENSG00000243910,ENSG00000132612,ENSG00000154611,ENSG00000102119,ENSG00000183955,ENSG00000152253,ENSG00000166037,ENSG00000184678,ENSG00000276180,ENSG00000112640,ENSG00000176108,ENSG00000114745,ENSG00000277157,ENSG00000203811,ENSG00000128159,ENSG00000104833,ENSG00000197153,ENSG00000167110,ENSG00000141577,ENSG00000286522,ENSG00000156970,ENSG00000184260,ENSG00000275379,ENSG00000103995,ENSG00000180596,ENSG00000273983,ENSG00000150991,ENSG00000108559,ENSG00000197903,ENSG00000287080,ENSG00000166295,ENSG00000010292,ENSG00000175826,ENSG00000136861,ENSG00000273542,ENSG00000068971,ENSG00000274618,ENSG00000185130,ENSG00000154839,ENSG00000173272,ENSG00000276966,ENSG00000112877,ENSG00000119408,ENSG00000158406,ENSG00000149503,ENSG00000197238,ENSG00000161888,ENSG00000272391,ENSG00000137100,ENSG00000249115,ENSG00000164754,ENSG00000158373,ENSG00000278705,ENSG00000146918,ENSG00000174903,ENSG00000161904,ENSG00000103275,ENSG00000100162,ENSG00000037042,ENSG00000176014,ENSG00000278828,ENSG00000182149,ENSG00000273703,ENSG00000164611,ENSG00000124635,ENSG00000277775,ENSG00000270276,ENSG00000132182,ENSG00000137497,ENSG00000105568,ENSG00000178999,ENSG00000127824,ENSG00000180573,ENSG00000102882,ENSG00000102901,ENSG00000135476,ENSG00000152082	-1.376	0.016775308	0	0.0023679	0.1334
REACTOME	REACTOME PCP PE pathway	REACTOME_PCP_CE_PATHWAY	79	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000166501,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000154229,ENSG00000041357,ENSG00000108854,ENSG00000198742,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000100592,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000183020,ENSG00000175166,ENSG00000164930,ENSG00000103035,ENSG00000141367,ENSG00000165916,ENSG00000129084	1.809	0.00350509	0	0.0037104	0.2564
REACTOME	REACTOME Apoptosis	REACTOME_APOPTOSIS	156	ENSG00000171552,ENSG00000172115,ENSG00000197170,ENSG00000169857,ENSG00000127922,ENSG00000143106,ENSG00000164305,ENSG00000114030,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000039068,ENSG00000115233,ENSG00000125818,ENSG00000064012,ENSG00000187323,ENSG00000179222,ENSG00000131467,ENSG00000100911,ENSG00000160049,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000166913,ENSG00000108424,ENSG00000067900,ENSG00000185627,ENSG00000168522,ENSG00000041357,ENSG00000087470,ENSG00000108561,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000197822,ENSG00000134308,ENSG00000198836,ENSG00000100567,ENSG00000108671,ENSG00000046604,ENSG00000088986,ENSG00000087191,ENSG00000170315,ENSG00000134602,ENSG00000095261,ENSG00000134982,ENSG00000065675,ENSG00000136448,ENSG00000008018,ENSG00000169598,ENSG00000107643,ENSG00000175166,ENSG00000103035,ENSG00000168036,ENSG00000165916,ENSG00000132906,ENSG00000264364,ENSG00000129084,ENSG00000110330,ENSG00000137275,ENSG00000108953,ENSG00000015475,ENSG00000137831	1.456	0.048523467	0	0.0044382	0.18112
