,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000001,Arsj,117.043377779266,0.98573367198726,-0.0207301866256413,0.136780395814594,-0.151558171053556,0.87953542685967,0.975427344208079,arylsulfatase family, member J
ENSRNOG00000000007,Gad1,7542.51205146306,0.989338399098868,-0.015464021630259,0.105227030126638,-0.146958643721565,0.883164663352937,0.975949227892772,glutamate decarboxylase 1
ENSRNOG00000000008,Alx4,3.08398505424184,0.787747222251937,-0.344195332855491,0.636735452559427,-0.54056253891936,0.588809144277617,NA,ALX homeobox 4
ENSRNOG00000000009,Tmco5b,5.03653689939171,1.86385001485632,0.898285770116125,0.413480168062146,2.17250025394474,0.0298179505061387,NA,transmembrane and coiled-coil domains 5B
ENSRNOG00000000010,Cbln1,274.592404431441,1.02836625664636,0.0403541775093776,0.380071068100147,0.10617534691892,0.915443230672977,0.982489631585591,cerebellin 1 precursor
ENSRNOG00000000012,Tcf15,40.3065912016791,0.894776937964459,-0.160400022121393,0.164924096407067,-0.972568748992824,0.330767680831762,0.726329030701911,transcription factor 15
ENSRNOG00000000017,Steap1,8.07835888132281,0.971681389229931,-0.0414447579388506,0.334044866735136,-0.124069435174743,0.901260298338065,NA,STEAP family member 1
ENSRNOG00000000021,NA,0.500353133839908,0.83408342828364,-0.261736400004762,1.42704549736631,-0.183411391218998,0.854475238574361,NA,NA
ENSRNOG00000000024,Hebp1,1089.86249485334,1.06339710111808,0.0886804386687463,0.119128300437756,0.744411179735424,0.456627757510126,0.807828551035937,heme binding protein 1
ENSRNOG00000000033,Tmcc2,7344.01426766703,0.871227577586484,-0.198878473457008,0.112820737052401,-1.7627829657294,0.0779371014694137,0.430458921548202,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,96.9422111879667,0.808275046154519,-0.307081786809967,0.174474010554409,-1.76004314816965,0.0784004909631076,0.431211320353731,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,695.76848560309,1.13211178404275,0.179016416051424,0.191801528481093,0.93334196796597,0.350643432907981,0.741021628684044,kelch domain containing 8A
ENSRNOG00000000040,RGD1304622,292.657981513983,0.753225670801764,-0.408845925382257,0.176240435315633,-2.31981908493386,0.0203506662089864,0.281254859307127,similar to 6820428L09 protein
ENSRNOG00000000041,Slc26a1,81.6244810860374,0.907365337373779,-0.140244547116406,0.109843469317287,-1.27676727608907,0.201684421804126,0.612838120104058,solute carrier family 26 member 1
ENSRNOG00000000042,Xpr1,2043.06129084561,1.00083975030472,0.00121099520454431,0.0601147035731955,0.0201447421772579,0.983927908280394,0.998499120731412,xenotropic and polytropic retrovirus receptor 1
ENSRNOG00000000043,Idua,1379.93614862232,1.16706110514569,0.222880099847983,0.152522475379379,1.46129348670482,0.143934916558933,0.543156527042332,alpha-L-iduronidase
ENSRNOG00000000044,Tmem175,2394.7135040546,1.08894937850406,0.122936889703478,0.0618975305372758,1.98613561213793,0.0470182679378673,0.358759827731078,transmembrane protein 175
ENSRNOG00000000047,Cd82,693.060134914011,0.849530633961361,-0.2352621231491,0.219805530562605,-1.07031939800119,0.284475565891241,0.691505585434624,Cd82 molecule
ENSRNOG00000000048,Gak,15382.6691895213,0.878562401130545,-0.186783335569588,0.103146767028075,-1.8108501211555,0.0701640553544158,0.416437347590317,cyclin G associated kinase
ENSRNOG00000000053,Crp,0.697585905711451,1.2710365363556,0.346005501673657,1.06820735604906,0.323912300092573,0.746004431484707,NA,C-reactive protein
ENSRNOG00000000054,Abhd8,5018.56622244543,0.870627666362848,-0.199872228804407,0.164837789050511,-1.2125388841703,0.225306167409933,0.637011464197192,abhydrolase domain containing 8
ENSRNOG00000000062,Pcgf3,2597.28997914943,1.02676270855201,0.0381028040995305,0.0525849346372609,0.724595444728982,0.468700254320675,0.813728166201095,polycomb group ring finger 3
ENSRNOG00000000064,Atp5me,1596.7974483941,0.938059700080047,-0.0922483530969752,0.0954667273895196,-0.966288000222183,0.333900088919993,0.728203772754595,ATP synthase membrane subunit e
ENSRNOG00000000065,Pde6b,5.01249465333702,1.02038856309518,0.0291186338664873,0.572438265808949,0.0508677277633386,0.959430921717471,NA,phosphodiesterase 6B
ENSRNOG00000000066,Fbxo28,1508.75073502665,1.11257165359144,0.153898253788814,0.0834889686576548,1.84333638638981,0.0652799116820287,0.406434843606148,F-box protein 28
ENSRNOG00000000068,Ppp2r5a,2052.05832002094,0.943993840092129,-0.0831506493866154,0.0423090741766809,-1.96531479368662,0.0493778144036904,0.364489778650736,protein phosphatase 2, regulatory subunit B', alpha
ENSRNOG00000000070,Dr1,2061.75053122769,0.996465599200632,-0.00510809485998011,0.0714216190826898,-0.0715202893127655,0.94298367736898,0.989574318464067,down-regulator of transcription 1
ENSRNOG00000000073,Tmed5,2103.03823243146,0.923835978621224,-0.114291362114932,0.121385215671748,-0.941559163382805,0.34641838548321,0.737745060440361,transmembrane p24 trafficking protein 5
ENSRNOG00000000075,Mtf2,1469.40527467726,1.04724152253184,0.0665942055691705,0.0597737047326271,1.11410537237155,0.265233984151048,0.674152456810764,metal response element binding transcription factor 2
ENSRNOG00000000081,Antxr2,229.793386232142,0.940091295986899,-0.0891272254675171,0.144628407929824,-0.616249786216018,0.537729674220634,0.850439441223316,ANTXR cell adhesion molecule 2
ENSRNOG00000000082,Hltf,1884.16942532433,1.06458743427248,0.090294442802149,0.100508859027129,0.898372976035646,0.36898673872138,0.747857050801369,helicase-like transcription factor
ENSRNOG00000000091,Smad9,590.388150586165,1.0071183961884,0.0102332956121697,0.116765355074957,0.0876398278033793,0.930162945941201,0.985943225509928,SMAD family member 9
ENSRNOG00000000095,Gpr89b,2651.6803442003,0.996481493365352,-0.00508508327808086,0.0425770712304789,-0.11943243466781,0.904932766039739,0.981753507237121,G protein-coupled receptor 89B
ENSRNOG00000000096,Pdzk1,2.60396550673365,1.4226272325965,0.508557685661922,0.59751043819768,0.851127701125903,0.394698419032736,NA,PDZ domain containing 1
ENSRNOG00000000097,NA,1.3676090460725,0.767900200183159,-0.381009270993831,0.850627025683767,-0.447915783874327,0.654213976676327,NA,NA
ENSRNOG00000000098,Rnf115,3304.76317724447,0.943087716749347,-0.0845361324345481,0.0762440075330567,-1.10875772627634,0.267534711623211,0.676168512564031,ring finger protein 115
ENSRNOG00000000104,Thoc3,784.256136637214,0.967386062810412,-0.0478363419486815,0.0596447093326096,-0.802021545312954,0.42254049534518,0.784349046911605,THO complex subunit 3
ENSRNOG00000000105,Cplx2,19534.8749636172,0.718111333227237,-0.477720563592196,0.170877552962373,-2.79568940045268,0.00517891461505114,0.194849953442928,complexin 2
ENSRNOG00000000108,Aga,859.001413658948,0.988663907612455,-0.016447929037226,0.116069508902055,-0.141707578439964,0.88731098862643,0.977527550146089,aspartylglucosaminidase
ENSRNOG00000000109,Fgf20,19.7795295330089,0.903579994284064,-0.146275765797223,0.261551287134333,-0.559262267067703,0.575982743030011,NA,fibroblast growth factor 20
ENSRNOG00000000111,Coprs,432.383687147422,0.967248478799143,-0.0480415401572614,0.0669495927126125,-0.717577780696655,0.473017661855972,0.816126243594788,coordinator of PRMT5 and differentiation stimulator
ENSRNOG00000000112,Champ1,1463.2151386376,1.00125317935591,0.00180682374132716,0.0638235332133298,0.0283096790534593,0.977415160926686,0.996469080494946,chromosome alignment maintaining phosphoprotein 1
ENSRNOG00000000113,Elac1,658.3462409985,1.05382107172546,0.0756299325844022,0.0812399951345285,0.930944573041438,0.351882236139004,0.741427864630522,elaC ribonuclease Z 1
ENSRNOG00000000121,Pigv,318.699808914281,0.958737335301749,-0.0607924798134241,0.0897984454103907,-0.676988109711638,0.49841349849921,0.829243163787966,phosphatidylinositol glycan anchor biosynthesis, class V
ENSRNOG00000000122,Ak2,326.771450048616,0.94797260370979,-0.0770827288684127,0.0873374393452663,-0.882585171333977,0.377460443341033,0.755262396661613,adenylate kinase 2
ENSRNOG00000000123,Rnf19b,1648.35082081293,0.939344786617967,-0.090273298410504,0.10231110755048,-0.882341131591831,0.377592359838787,0.755392702249779,ring finger protein 19B
ENSRNOG00000000127,Kpna6,1933.2577593903,0.992674666139064,-0.0106071207910802,0.0689029370944984,-0.153942941162767,0.877654725484529,0.974973798410746,karyopherin subunit alpha 6
ENSRNOG00000000129,Phf24,14107.4951984639,1.06472867307067,0.0904858324350143,0.066215403358094,1.36653751009664,0.171770315837953,0.580430974569241,PHD finger protein 24
ENSRNOG00000000130,Dnajb5,5086.28282610695,0.999992935765054,-1.01915727217863e-05,0.122465029551035,-8.32202691588721e-05,0.999933599832169,0.999974050043503,DnaJ heat shock protein family (Hsp40) member B5
ENSRNOG00000000133,Txndc15,2708.81689919326,0.965956822864467,-0.0499693911590977,0.0517447721834556,-0.965689654250222,0.334199497932753,0.728345790364806,thioredoxin domain containing 15
ENSRNOG00000000137,Ly86,121.192764270117,0.872791367858888,-0.196291261796831,0.159403308899157,-1.23141271754284,0.218168542866393,0.628305184489066,lymphocyte antigen 86
ENSRNOG00000000138,Glis1,141.531172998394,1.09647765629575,0.132876413489165,0.201031264546011,0.660973872841318,0.508629069158647,0.835617224554655,GLIS family zinc finger 1
ENSRNOG00000000142,Plxdc2,2414.2145395808,1.0353679300193,0.0501435372783816,0.0716324326874016,0.700011648315842,0.483920030010926,0.822001080531008,plexin domain containing 2
ENSRNOG00000000145,Pik3r3,1914.58097471887,0.975370291905456,-0.0359780638436857,0.0835272139714508,-0.430734632858494,0.666661333711354,0.904475102305347,phosphoinositide-3-kinase regulatory subunit 3
ENSRNOG00000000150,Dnajc1,1327.69412300153,1.13049123305196,0.176949804047418,0.125054043598754,1.41498666460699,0.157072405994361,0.564060936759102,DnaJ heat shock protein family (Hsp40) member C1
ENSRNOG00000000151,Ldlrap1,441.560592587072,0.806067048837051,-0.311028247447338,0.314865643053074,-0.987812593433419,0.323244438773185,0.72203185831747,low density lipoprotein receptor adaptor protein 1
ENSRNOG00000000155,Cog3,1578.20224708238,1.11809570189138,0.161043678999555,0.0564246823154942,2.85413532501772,0.00431541447245403,0.187179110802706,component of oligomeric golgi complex 3
ENSRNOG00000000156,Megf6,123.258771411652,0.75993272302426,-0.396056392719975,0.303787487624127,-1.30372845773692,0.192326182959564,0.602699479300376,multiple EGF-like-domains 6
ENSRNOG00000000157,Atg12,3773.97100593265,0.995158109600276,-0.00700233725637584,0.0585008587512895,-0.119696315675392,0.904723719041787,0.981753507237121,autophagy related 12
ENSRNOG00000000158,Cdo1,2334.29206393297,0.962422756203356,-0.0552573398696347,0.117811682544658,-0.46903107294719,0.639047425667779,0.894440825940715,cysteine dioxygenase type 1
ENSRNOG00000000161,Chm,2421.60505736483,1.04924614111995,0.0693531573411926,0.106675517617297,0.65013190364822,0.515607022799361,0.839363030646484,CHM Rab escort protein
ENSRNOG00000000164,Lamp2,6659.73373497479,0.927177368046268,-0.109082743605433,0.0865294312580404,-1.26064325189121,0.207437408086684,0.619777471321072,lysosomal-associated membrane protein 2
ENSRNOG00000000165,Pfkfb1,32.2297598979767,1.14628486548866,0.196965615611047,0.28240404005526,0.697460332268989,0.485514755858928,0.822019580440835,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
ENSRNOG00000000166,Apex2,277.309136775789,1.15696528618473,0.210345578187445,0.0953189531018452,2.20675501925307,0.0273311791152173,0.300126508077004,apurinic/apyrimidinic endodeoxyribonuclease 2
ENSRNOG00000000167,Alas2,97.2060801707124,0.593985542777414,-0.751500277694915,0.37697583150638,-1.99349723480137,0.0462070260339467,0.35655635001403,5'-aminolevulinate synthase 2
ENSRNOG00000000168,Gatm,5893.76696323717,0.813248787902607,-0.298231327867744,0.127676539769218,-2.33583498117049,0.0194998436921398,0.278339185891924,glycine amidinotransferase
ENSRNOG00000000169,Afg2b,209.617416729201,1.04959940309942,0.0698388046172698,0.109774126196038,0.636204605195851,0.524643071953672,0.842778838654865,AFG2 AAA ATPase homolog B
ENSRNOG00000000170,Slc30a4,4531.7822140873,0.963169493281772,-0.0541383969219042,0.123516802870027,-0.438307952148601,0.661163062141415,0.901808053820705,solute carrier family 30 member 4
ENSRNOG00000000172,Sqor,209.713188209597,0.886809102081721,-0.173304516990701,0.109360292850164,-1.58471152987993,0.113031891024057,0.493302217932112,sulfide quinone oxidoreductase
ENSRNOG00000000175,Mier2,683.082473128423,1.21849397051326,0.285099112175618,0.155449043401077,1.83403580966419,0.0666486787116707,0.409062210541592,MIER family member 2
